"name","run.no.in.std.order","run.no","run.no.std.rp","input","batch","sim_time","insert_time","max_mem","platform"
"113","12",113,"12.8","big","E",828246807,535826575,538096544,guarani
"114","8",114,"8.8","medium","D",104133759,70499039,139770840,guarani
"115","15",115,"15.8","big","F",810475774,527134498,269840144,guarani
"116","11",116,"11.8","medium","E",103184152,71977717,71004640,guarani
"117","9",117,"9.8","big","D",838221337,528818953,1070151840,guarani
"118","2",118,"2.8","medium","B",110597883,73781556,553416928,guarani
"119","7",119,"7.8","small","D",2613026,2000196,3223592,guarani
"120","6",120,"6.8","big","C",875048234,537498585,2140641136,guarani
"121","12",121,"12.9","big","E",828498293,531946445,538096544,guarani
"122","13",122,"13.9","small","F",4040185,2989511,3115072,guarani
"123","5",123,"5.9","medium","C",104065212,72256912,277502584,guarani
"124","2",124,"2.9","medium","B",108585602,72396112,553416928,guarani
"125","3",125,"3.9","big","B",NA,NA,NA,guarani
"126","9",126,"9.9","big","D",849934137,537099306,1070151840,guarani
"127","14",127,"14.9","medium","F",96694756,66082745,36806688,guarani
"128","6",128,"6.9","big","C",866198951,525093883,2140641136,guarani
"129","15",129,"15.9","big","F",815166065,533258581,269840224,guarani
"130","1",130,"1.9","small","B",2355072,1943293,3679296,guarani
"131","8",131,"8.9","medium","D",107516212,73760858,139770928,guarani
"132","11",132,"11.9","medium","E",100928819,69660032,71004640,guarani
"133","7",133,"7.9","small","D",2253607,1663604,3223464,guarani
"134","10",134,"10.9","small","E",2981201,2261711,3152104,guarani
"135","4",135,"4.9","small","C",2577308,2076475,3384440,guarani
"136","12",136,"12.10","big","E",818124488,523545500,538096360,guarani
"137","6",137,"6.10","big","C",878185446,540511047,2140641136,guarani
"138","7",138,"7.10","small","D",2452228,1882766,3223592,guarani
"139","4",139,"4.10","small","C",1978430,1471763,3384624,guarani
"140","5",140,"5.10","medium","C",103991777,72164791,277502680,guarani
"141","2",141,"2.10","medium","B",105815290,69788279,553416928,guarani
"142","9",142,"9.10","big","D",844015057,531525466,1070151840,guarani
"143","1",143,"1.10","small","B",1962353,1552647,3679480,guarani
"144","13",144,"13.10","small","F",3274394,2272981,3114888,guarani
"145","10",145,"10.10","small","E",2704024,1974032,3152328,guarani
"146","3",146,"3.10","big","B",NA,NA,NA,guarani
"147","8",147,"8.10","medium","D",105541036,71236529,139770840,guarani
"148","15",148,"15.10","big","F",822147320,534127860,269840408,guarani
"149","14",149,"14.10","medium","F",94935234,64396987,36806688,guarani
"150","11",150,"11.10","medium","E",99127295,67758431,71004824,guarani
